mediator,mediator_id,step1_n,step1_beta,step1_se,step1_p,step1_Q,step1_Qp,step1_Egger_int_p,step2_n,step2_beta,step2_se,step2_p,step2_Q,step2_Qp,step2_Egger_int_p,indirect,indirect_se,indirect_lo,indirect_hi,indirect_p
depression,ieu-b-102,41,0.619761433175609,0.0791243861513413,4.77317741820759e-15,108.425725243116,3.16079980467883e-08,0.0764588953571725,45,-0.0780297629279722,0.0483049553065433,0.106233338211933,408.830181889535,1.21029772709793e-60,0.714320900650482,-0.048359837702593,0.0305675609268599,-0.108272257119239,0.0115525817140525,0.113634960940719
crp,ebi-a-GCST90029070,47,0.179872466628693,0.0521028596158615,0.000555917765979887,282.903336985086,8.01108913542771e-36,0.766552374174638,231,0.000954621116875982,0.0138177549983253,0.944920721502791,915.667334229548,1.60157568157445e-82,0.40196143179355,0.000171710054988321,0.00248593130824631,-0.00470071530917444,0.00504413541915108,0.944931729740659
insomnia,ukb-b-3957,42,0.265125810471658,0.0313843981247857,2.97111371788286e-17,150.947956658647,1.71180553639333e-14,0.417284419173792,42,-0.0186772929880577,0.103322517925025,0.856550531935118,226.644805914437,1.55610788174947e-27,0.657871773117765,-0.00495183244087542,0.0273997371890236,-0.0586553173313617,0.0487516524496108,0.856583006801104
