"pain_burden_n","yhat","lower","upper"
0,-0.0195864407250638,-0.0413037933940695,0.00213091194394197
1,-0.0768831494250682,-0.101455394276708,-0.0523109045734287
2,-0.114255574717826,-0.146774751347732,-0.0817363980879195
3,-0.132752363098454,-0.167718861694741,-0.0977858645021678
