model,term,beta,se,HR,lo,hi,p
cox,pain_burden_n,0.00541411783543668,0.00617548843235701,1.00542880065762,0.993332487668115,1.01767241657918,0.380643701193654
cox,age,0.0235381260953677,0.00185506985039953,1.02381733415985,1.02010155818583,1.02754664505201,6.84507696869661e-37
cox,sex,0.0976773757772116,0.0380924728087223,1.10260699999273,1.02328304402013,1.18808007573031,0.0103408796453061
cox,edu,-0.0727358148278124,0.00467373657543149,0.929846449224185,0.921367464065098,0.938403463174316,1.30540060105148e-54
